"Country.Year","dem.MortalityInfant","dem.BirthRate.var","hs.DrinkingWater","dem.PopGrowth","dem.MortalityUnder5.var","eco.CO2Emissions","sci.EduExpense","dem.LifeExpectancy","dem.DeathRate.var","eco.AgeDependancyRate","hs.BasicSanitation","hs.GovHealthExpend","dem.MortalityUnder5","dem.AdolescentFertRate.var","HDI_rank"
"Afghanistan - 2008",71.6666666666667,-0.949000000000005,40.8551992128157,2.58419917924732,-4.16666666666666,0.0993470830965233,2.7045238410797,59.377,-0.356999999999998,101.549928356958,30.4157441977868,1.83355212211609,99.5333333333333,-3.93179999999998,"3"
"Afghanistan - 2012",61.7666666666667,-1.07266666666666,50.9384571830417,3.09909638549246,-3.66666666666666,0.347186876611966,2.63624363875896,61.545,-0.306333333333334,100.065410269313,35.4613633715713,2.55107418696086,83.9333333333333,-6.45899999999999,"2"
"Afghanistan - 2016",53.2333333333333,-0.874000000000002,61.5582152241918,3.07032755534398,-3.06666666666666,0.253795026233991,2.72372268879932,63.3686666666667,-0.203666666666666,90.1816744678508,40.7122739566862,3.07002894083659,70.5333333333333,-6.36800000000001,"1"
"Albania - 2004",20.4,-0.716999999999999,87.9263529330236,-0.363985748100663,-1.5,1.33948354682504,2.95538398262248,74.8153333333333,0.077,56.3109746282935,90.6745874130691,51.4452667236328,22.9,-0.0769999999999982,"3"
"Albania - 2008",15.3,-0.235000000000001,87.9092948604989,-0.717990986471301,-1.36666666666666,1.36974078714394,3.04544796872048,75.6603333333333,0.146,51.6588706186032,93.5964100544459,115.476455688476,17.1333333333333,0.100199999999997,"3"
"Albania - 2012",10.8666666666667,0.0983333333333345,87.8106849481889,-0.310210111757891,-1.03333333333333,1.69341795530803,3.13551195481847,76.9093333333333,0.0763333333333343,48.2096822681941,96.1776345240066,180.190684000651,12.1666666666667,0.454600000000003,"3"
"Albania - 2016",8.56666666666667,-0.0803333333333338,91.0008656369567,-0.219377732909588,-0.266666666666667,1.6932934561182,3.28307506519722,78.0106666666667,0.154333333333335,45.6567052291097,97.6909218244183,183.432133992513,9.63333333333333,-0.217599999999997,"1"
"Algeria - 2004",31.2666666666667,0.364666666666665,90.6531730411657,1.2896087892787,-1.33333333333333,2.78936561197363,4.4671956,72.1,-0.0536666666666674,55.5927844895253,84.7118666472442,57.7940533955892,36.4666666666667,0.00140000000000029,"3"
"Algeria - 2008",26.4333333333333,0.82866666666667,91.6746602242909,1.55289940919793,-1.3,3.12655234558324,4.4671956,73.9226666666667,-0.0086666666666666,49.6694169565394,85.843711666617,110.973373413086,30.8,0.125533333333333,"3"
"Algeria - 2012",23,0.390666666666664,92.6147595659208,1.87991591287407,-0.633333333333333,3.36507998805125,4.4671956,75.191,0.0143333333333322,49.2219509911798,86.7676063410877,201.443211873372,26.7666666666667,0.373799999999999,"2"
"Algeria - 2016",21.6,-0.114999999999998,93.4192402460406,2.04344475944752,-0.333333333333332,3.76317178091658,4.4671956,76.0886666666667,0.00466666666666615,52.8436638551657,87.4572557718077,212.890167236328,25.1666666666667,-0.297000000000001,"1"
"Angola - 2004",109.866666666667,-0.132333333333328,44.3640024952464,3.3870272044364,-8,0.741687462568338,2.765,48.4683333333333,-0.585000000000001,98.4581400098914,31.8563066960717,15.5935230255127,182.9,-2.32060000000001,"3"
"Angola - 2008",90.4666666666667,-0.315666666666665,47.9607000034349,3.67024708370046,-9.40000000000001,1.1643845068076,2.79750000000004,52.1876666666667,-0.726000000000001,97.8444945566476,37.2593650281385,59.2896461486816,146.8,-2.46899999999999,"3"
"Angola - 2012",71.5333333333333,-0.57233333333334,51.1734063175955,3.63446511152806,-7.76666666666665,1.28936573712991,3.57,56.3053333333333,-0.623333333333333,97.923820273098,42.3263103732106,72.9601491292318,112.533333333333,-2.76580000000001,"3"
"Angola - 2016",57.9666666666667,-0.653999999999996,54.3142373545957,3.43820540290463,-4.53333333333335,1.36928225898208,3.57,59.3663333333333,-0.380000000000001,97.6020107744243,47.3731516997568,54.9512011210124,88.4666666666667,-3.37479999999999,"1"
"Argentina - 2008",14.0333333333333,-0.122666666666667,97.8409144663723,1.0022979012919,-0.4,4.53255228851811,3.93,74.7863333333333,-0.0133333333333345,58.2158377258271,90.9303184095937,318.269678751627,15.7,-0.107400000000005,"2"
"Argentina - 2012",12.4,-0.101333333333333,98.6651225714129,1.01405934204082,-0.533333333333333,4.62539006873317,4.86696030024365,75.4383333333333,-0.0139999999999993,56.5789684159478,93.1820089005214,715.481323242188,13.8666666666667,0.125800000000005,"1"
"Argentina - 2016",10.2333333333333,-0.155000000000005,99.0495862418628,1.07821467104731,-0.6,4.62377527738786,5.13928247751495,76.0673333333333,-0.012666666666667,56.1393717806868,94.231468162779,853.114542643228,11.5,-0.156999999999996,"1"
"Armenia - 2004",23.4666666666667,0.330666666666666,96.0318960671157,-0.550485042806446,-1.36666666666666,1.11799112872855,2.48408668571429,72.3243333333333,0.138666666666666,52.4105259134557,88.0881975632813,11.9417072931925,26.4333333333333,-0.921599999999998,"3"
"Armenia - 2008",19.2333333333333,0.263666666666666,97.2942001151512,-0.833828650597441,-1.1,1.70459110333076,2.69560371428572,72.8256666666667,0.143666666666666,47.3398665641795,89.7264096298946,48.1887474060058,21.6,-0.810600000000001,"1"
"Armenia - 2012",15.7,-0.0263333333333335,98.5961286966847,-0.0446152200787526,-0.900000000000002,1.71568341543777,2.90712074285715,73.5743333333333,0.0120000000000005,43.5954676843889,91.3758108629079,57.1417770385742,17.6,-0.588600000000003,"2"
