"","dem.BirthRate","dem.AdolescentFertRate.var","dem.MortalityUnder5","hs.GovHealthExpend","hs.BasicSanitation","eco.AgeDependancyRate","dem.DeathRate.var","dem.LifeExpectancy","sci.EduExpense","eco.CO2Emissions","dem.MortalityUnder5.var","dem.PopGrowth","hs.DrinkingWater","dem.BirthRate.var","clust_names"
"Congo, Dem. Rep. - 2004",45.83933333,0.8856,146.0333333,0.337112769,20.87101577,94.93869713,-0.498333333,52.14866667,1.185155933,0.020284041,-4.666666667,3.05004266,35.56773618,-0.052666667,1
"Congo, Dem. Rep. - 2008",45.459,0.495333333,127.5333333,0.740779062,20.51902728,96.00042787,-0.417,55.07833333,1.3764954,0.029759173,-4.466666667,3.258050637,37.79801664,-0.141,1
"Congo, Dem. Rep. - 2012",44.53,-0.2852,111,1.653332154,20.49055124,97.04872358,-0.307666667,57.41666667,1.7,0.034500426,-3.8,3.335457951,40.07806048,-0.325,1
"Congo, Dem. Rep. - 2016",42.79833333,-1.0248,97.16666667,2.859398286,20.44088897,97.54498149,-0.255,59.24566667,2.06,0.042067075,-3.233333333,3.301807834,42.3942136,-0.510666667,1
"Congo, Rep. - 2004",38.52433333,-0.2124,99.6,5.295547962,12.66648648,80.54766101,-0.426333333,53.85833333,3.646666667,0.237848752,-6.4,2.900337798,58.63480389,-0.044666667,1
"Congo, Rep. - 2008",38,-0.290266667,73.8,18.52617868,14.53020618,79.68155498,-0.512666667,57.52666667,2.52,0.312707097,-5.5,3.397381316,62.70659177,-0.214,1
"Congo, Rep. - 2012",36.66366667,-0.446,60.43333333,26.21514257,16.63113207,79.73183533,-0.328666667,60.767,2.52,0.54362548,-1.766666667,2.811464678,66.95121839,-0.445333333,1
"Congo, Rep. - 2016",34.51266667,-1.2234,54.23333333,28.418492,18.94144718,80.84417871,-0.215,63.07833333,2.52,0.66356312,-1.666666667,2.487944256,71.14776181,-0.581333333,1
"Costa Rica - 2004",17.54133333,-1.1732,11.8,191.8609924,93.97876672,53.83159992,0.050333333,77.869,4.075,1.591367849,-0.3,1.54263877,95.5467477,-0.496666667,1
"Costa Rica - 2008",16.23666667,-1.035666667,11.06666667,292.9757131,94.84931182,48.77569169,0.065,78.364,4.740378119,1.766448512,-0.133333333,1.353716509,97.17787178,-0.207333333,1
"Costa Rica - 2012",15.55133333,-0.7606,10.2,523.1726379,96.06371317,45.75269058,0.066333333,78.92066667,6.635754422,1.603456357,-0.3,1.211011834,98.4926438,-0.167666667,1
"Costa Rica - 2016",14.75433333,-1.2614,9.066666667,631.0381063,97.26853593,44.6118345,0.071,79.567,7.106347516,1.60774573,-0.233333333,1.087332367,99.50798209,-0.234666667,1
"Cote d'Ivoire - 2004",40.01466667,-1.0894,132.4666667,6.209209919,22.26933816,88.39191084,-0.126333333,49.61166667,4.386666667,0.386523455,-3.433333333,2.140032181,71.18856979,-0.404333333,1
"Cote d'Ivoire - 2008",38.33933333,-1.229,118,8.789991379,24.72496553,88.41373412,-0.378333333,51.11133333,4.178031086,0.357393967,-3.7,2.197937324,71.72199954,-0.388666667,1
"Cote d'Ivoire - 2012",37.18866667,-1.5082,103.2666667,10.88428179,27.57402091,86.15070504,-0.399,53.61833333,4.199922453,0.371715925,-3.133333333,2.385335387,72.20971265,-0.206333333,1
"Cote d'Ivoire - 2016",36.431,-1.3572,90.73333333,16.52168115,30.57615014,83.12651096,-0.294333333,56.04666667,4.722199913,0.455868529,-2.866666667,2.520914376,72.65415552,-0.199,1
"Croatia - 2004",9,-0.1266,7.366666667,409.4722799,96.20765529,49.47755747,0.066666667,74.9504878,3.63,5.176885642,-0.333333333,0.038415164,98.6581064,0,1
"Croatia - 2008",9.543333333,-0.311466667,6.133333333,881.9793294,96.29908157,48.94261606,0.305333333,75.81821138,3.938888889,5.338118886,-0.266666667,-0.003402998,99.01274746,0.213333333,3
"Cyprus - 2004",12.177,-0.1582,5.533333333,476.6169942,99.83712481,46.0192895,-0.011,78.385,5.766666667,7.414969843,-0.366666667,1.696291517,99.96114501,-0.244,1
"Cyprus - 2008",11.67766667,-0.1904,4.3,753.1680705,99.66695502,43.1258495,-0.005,78.915,6.076666667,7.694945092,-0.3,1.704029932,99.85040509,-0.055333333,1
"Cyprus - 2012",11.437,-0.2548,3.333333333,936.7663574,99.46330004,41.42483712,-0.000333333,79.621,6.089926513,6.541931583,-0.166666667,1.103574884,99.73150879,-0.08,3
"Cyprus - 2016",11.002,-0.1158,2.733333333,717.2653809,99.25605662,42.38231067,0.043333333,80.347,6.225695031,5.403468326,-0.166666667,0.758327062,99.62298089,-0.141,1
"Czech Republic - 2004",9.3,-0.0486,4.8,550.8817444,99.13914345,41.25746421,0.066666667,75.37154472,3.803333333,11.71996192,-0.2,-0.063695787,99.81698168,0.2,1
"Czech Republic - 2008",10.96666667,-0.056733333,3.9,969.8909912,99.1382402,40.70682466,-0.033333333,76.74146341,3.763333333,11.7116368,-0.2,0.561250146,99.8395057,0.666666667,3
"Czech Republic - 2012",10.63333333,-0.073,3.3,1190.163371,99.13724853,43.48874742,0.033333333,77.79105691,4.013333333,10.29520989,-0.1,0.212678332,99.86237344,-0.566666667,3
"Czech Republic - 2016",10.53333333,0.244,3.166666667,1129.085083,99.13535,49.42833365,0.233333333,78.8097561,5.058262581,9.457749199,0.066666667,0.164638249,99.88009269,0.133333333,3
"Denmark - 2004",11.96666667,-0.1498,5.366666667,2986.098796,99.59723946,50.75414384,-0.266666667,77.17723577,7.75,9.810968814,-0.133333333,0.28330995,100,0.066666667,2
"Denmark - 2008",11.83333333,-0.1954,4.566666667,4580.835775,99.59723506,51.89523802,-0.1,78.24552846,7.193333333,9.321514075,-0.233333333,0.453219601,99.99999925,-0.166666667,2
"Denmark - 2012",10.8,-0.2866,4.1,5112.079753,99.59723165,53.46819587,-0.266666667,79.6504065,7.484760451,7.357217105,0,0.410735751,99.99999855,-0.6,2
"Denmark - 2016",10.36666667,-0.0626,4.1,4886.041504,99.59723011,55.85611993,0.066666667,80.75203252,6.89804486,5.614921377,0,0.664623259,99.99999929,0.266666667,2
"Djibouti - 2016",22.91833333,-0.5742,65.33333333,41.41318639,61.09170807,53.67053502,-0.309,64.12366667,7.802882708,0.678162822,-2.166666667,1.68574408,75.57862919,-0.483666667,1
"Dominican Republic - 2004",23.57566667,-0.3742,37.86666667,35.81042798,78.73794297,63.74631628,-0.016,70.22766667,1.859077226,2.305294357,-0.833333333,1.4260489,91.21473468,-0.383333333,1
"Dominican Republic - 2008",22.19133333,-0.718933333,35.5,80.16798019,80.25330097,60.2838362,-0.004333333,71.30133333,1.797334644,2.201010125,-0.5,1.296531149,93.13391227,-0.304666667,1
"Dominican Republic - 2012",21.18166667,-1.4084,33.7,153.2644399,81.75649371,56.69077487,0.009,72.28433333,1.955077226,2.199459863,-0.4,1.210509584,94.76946524,-0.216333333,1
"Dominican Republic - 2016",20.31233333,-0.6656,31.3,169.4569041,83.18452657,54.6874555,0.014,73.23833333,2.519252247,2.318407214,-0.8,1.13976203,96.16455137,-0.234666667,1
"Ecuador - 2004",23.943,-0.1052,24.8,39.49794579,72.78264666,64.18993083,-0.026,73.633,1.99,2.017221041,-1.1,1.714684233,84.53582463,-0.498,1
"Ecuador - 2008",22.3,-0.1264,20.9,79.56990306,77.17871346,61.06823005,0.006666667,74.51266667,3.07,2.205242977,-0.9,1.669018805,87.39133954,-0.331,1
"Ecuador - 2012",21.25766667,-0.1688,17.5,193.9027456,81.67029991,58.05169243,0.009,75.291,3.936666667,2.308067012,-0.8,1.542340335,90.24197942,-0.213333333,1
"Ecuador - 2016",20.42733333,-0.6966,15.13333333,267.9341532,86.09059924,55.43754548,0.000666667,76.14366667,3.93,2.68595928,-0.366666667,1.6228367,93.03137536,-0.217666667,1
"Egypt, Arab Rep. - 2004",25.04566667,-0.6264,39.46666667,19.10951805,92.57705726,66.51897431,-0.029,69.116,4.4111256,1.948552073,-2.033333333,1.857132194,98.09142478,-0.212333333,1
"Egypt, Arab Rep. - 2008",25.449,0.009533333,32.83333333,28.52571996,93.05054469,61.1137105,-0.029333333,69.789,4.4111256,2.411287076,-1.466666667,1.767415474,98.38350301,0.425,1
"Egypt, Arab Rep. - 2012",27.815,1.2814,27.56666667,40.33264033,93.51227085,59.90133725,-0.042,70.54266667,4.4111256,2.522777762,-1.233333333,2.104436859,98.67180779,0.549,1
"Egypt, Arab Rep. - 2016",28.11133333,-0.388,23.43333333,50.63919195,93.96542522,62.53357049,-0.056,71.30033333,4.4111256,2.491696666,-0.866666667,2.203837866,98.96038656,-0.363666667,1
"El Salvador - 2004",22.505,-1.2332,27.73333333,87.82236481,83.69098335,71.23249136,-0.005333333,69.67333333,2.778333333,1.062332976,-1.566666667,0.539953209,80.61382586,-0.705,1
"El Salvador - 2008",20.53866667,-1.420866667,22.33333333,119.4572525,84.87058947,67.11144956,0.027333333,70.54366667,2.993333333,1.111776466,-1.166666667,0.435778469,85.82503861,-0.345333333,1
"El Salvador - 2012",19.42833333,-1.7962,18.3,149.2307841,86.02655652,61.73346397,0.021666667,71.45033333,3.281811651,1.060957853,-0.9,0.43154056,91.11082815,-0.225666667,1
"El Salvador - 2016",18.734,-0.8112,15.3,181.1474101,87.00656137,56.58989602,0.024333333,72.41033333,3.781164738,1.069762536,-0.6,0.475746099,95.97862661,-0.147,1
"Equatorial Guinea - 2004",40.45766667,-0.84,143.2666667,10.96473153,57.69327663,76.34668809,-0.237666667,54.05566667,1,10.23403828,-4.433333333,4.221464497,53.36914848,-0.265333333,1
"Equatorial Guinea - 2008",39.067,-1.080866667,124.9666667,48.88507843,61.31427719,73.03286515,-0.229333333,54.85,1,9.15616924,-4.733333333,4.615188083,57.13431446,-0.426,1
"Equatorial Guinea - 2012",37.043,-1.5626,107.9333333,92.54359945,64.62187908,69.90514866,-0.259666667,55.95166667,1,7.867927894,-3.766666667,4.476662344,61.64162271,-0.561,1
"Equatorial Guinea - 2016",34.776,-2.2308,94.06666667,72.22295634,66.18205898,66.97875046,-0.24,57.35766667,1,5.441405612,-3.333333333,4.041905798,64.17686423,-0.55,1
"Estonia - 2004",9.733333333,-0.1912,8.5,264.0868073,99.69421163,47.4320148,-0.133333333,71.37723577,4.893333333,11.99028279,-0.7,-0.619625585,99.23564202,0.333333333,1
"Estonia - 2008",11.6,-0.556266667,5.933333333,621.8477885,99.48971015,47.26301805,-0.1,73.09227642,4.675,12.81010597,-0.566666667,-0.437992605,99.40129983,0.6,1
"Estonia - 2012",11.2,-1.2864,4.233333333,739.8922729,99.28170606,49.44264962,-0.2,75.99512195,4.85,13.31697282,-0.366666667,-0.296528401,99.57284157,-0.7,1
"Estonia - 2016",10.53333333,-1.6866,3.133333333,888.2304077,99.13273222,53.52750994,-0.1,77.42195122,4.924517326,12.95730835,-0.266666667,-0.055863807,99.71053449,0.233333333,3
"Eswatini - 2004",31.995,-2.526,115.7666667,55.84890238,51.73924143,81.77459431,0.710333333,43.50433333,5.75,1.050682172,1.166666667,0.414307704,55.51619543,-0.003,1
"Eswatini - 2008",31.723,-2.4994,105.5666667,114.206665,53.73128932,79.40231015,-0.359666667,43.40366667,6.835,1.028925067,-3.233333333,0.620566721,59.50001313,-0.234,1
"Eswatini - 2012",29.74933333,-2.4462,78.2,143.9149373,55.83998296,77.70837925,-0.991333333,48.20133333,8.703435097,1.04748914,-8.4,0.680837956,63.81124803,-0.640666667,1
"Eswatini - 2016",27.592,-0.623,61.66666667,88.37752787,57.87022493,75.30256483,-0.869666667,55.29666667,6.790915871,0.916952965,-5.233333333,0.822309855,67.93569754,-0.429,1
"Ethiopia - 2004",41.09833333,-3.8852,121.6,2.26908354,4.109266101,98.71759577,-0.595,54.24466667,2.645,0.068295928,-6.4,2.848233459,23.33377479,-0.913666667,1
"Ethiopia - 2008",37.74866667,-3.166466667,97.2,2.31906422,4.997203098,96.95718385,-0.573,58.46066667,3.7,0.074922453,-5.6,2.751705593,28.9809298,-0.736333333,1
"Ethiopia - 2012",35.382,-1.729,77.66666667,3.013933818,5.940812132,91.34310046,-0.362666667,62.471,3.42,0.081836523,-4.333333333,2.808666167,34.30879554,-0.479,1
"Ethiopia - 2016",33.63366667,-2.2502,62.3,5.471873124,6.863425003,84.04459451,-0.191666667,65.02566667,2.998693932,0.135444853,-3.5,2.754718651,38.96821569,-0.425333333,1
"Fiji - 2004",23.72733333,0.8154,22.46666667,67.41828156,80.89070391,56.27735417,0.089,66.14033333,5.7694134,1.344200623,0.066666667,0.160764955,94.59199513,-0.330666667,1
"Fiji - 2008",22.632,0.5876,23.53333333,103.2329508,85.62644529,52.52902772,0.144333333,66.41733333,5.324285714,1.304923679,0.233333333,0.950174264,94.29586486,-0.195,1
"Fiji - 2012",22.26033333,0.132,23.63333333,89.91724141,90.20015952,51.41921921,0.069666667,66.75766667,4.410370778,1.302198175,-0.066666667,0.443440922,94.04229322,-0.031666667,1
"Fiji - 2016",21.96333333,0.69,24.33333333,112.7985077,94.36538865,53.27477422,-0.002,67.10266667,3.955081813,2.24267687,0.333333333,0.260491262,93.80312967,-0.144666667,1
"Finland - 2004",10.86666667,-0.272,4,1880.815267,99.44814491,49.78760245,-0.166666667,78.40081301,5.613377194,12.60686328,-0.1,0.257062884,99.99999766,0.166666667,3
"Finland - 2008",11.16666667,-0.301866667,3.466666667,2947.26359,99.44807178,50.10538908,0.1,79.34878049,5.403333333,11.7544162,-0.133333333,0.424918751,100.0000015,-0.033333333,2
"Finland - 2012",11.16666667,-0.3616,2.866666667,3389.872803,99.44796051,52.11678911,0,80.32276423,6.28,10.37184632,-0.133333333,0.46562091,100.0000015,-0.233333333,2
"Finland - 2016",10.06666667,-0.322,2.5,3344.943522,99.44786722,57.77605191,0.066666667,81.36341463,6.427867752,8.256942143,-0.1,0.343455165,100.0000011,-0.433333333,2
"France - 2004",12.83333333,-0.1358,4.9,2337.855347,98.66072958,53.86386424,-0.066666667,79.51300813,5.043333333,6.101580382,-0.2,0.724108085,99.92231939,-0.066666667,3
"France - 2008",12.93333333,-0.130533333,4.4,3314.325765,98.65773816,53.87719358,0.066666667,81.04634146,4.873333333,5.787717864,-0.1,0.624919579,99.95345296,-0.166666667,2
"France - 2012",12.73333333,-0.12,4.233333333,3601.059082,98.65471247,55.40850896,0.033333333,81.91544715,5.02,5.193984768,-0.066666667,0.487233256,99.98212598,-0.166666667,2
"France - 2016",12.06666667,-0.3842,4.133333333,3439.880859,98.65159616,59.25922423,0.333333333,82.53821138,4.942075934,4.573459729,0.033333333,0.364380635,100.000001,-0.333333333,2
"Gabon - 2004",32.75366667,-2.5862,78.53333333,65.57434464,37.06065656,81.69139881,-0.09,57.81166667,3.06,3.509403317,-1.966666667,2.446207225,81.21548192,-0.111333333,1
"Gabon - 2008",32.868,-2.431533333,69.56666667,98.60688527,40.62775544,75.18460107,-0.378666667,59.258,3.06,2.822429294,-2.633333333,2.935023792,82.98777399,0.117,1
"Gabon - 2012",33.25066667,-2.1222,59.23333333,150.8587748,44.31130501,69.85478958,-0.424,62.164,3.06,2.928061305,-2.366666667,3.634715785,84.2873683,0.044666667,1
"Gabon - 2016",32.88766667,-1.9878,49.7,135.3100204,47.2762612,66.96231238,-0.282666667,64.883,3.06,2.726059372,-2.6,3.328336292,85.36826084,-0.244333333,1
"Gambia, The - 2004",41.88633333,-2.8488,98.76666667,6.398058573,53.32050145,97.46778376,-0.253666667,57.15766667,1.60875,0.212381844,-4.433333333,3.186932674,75.43635167,-0.214666667,1
"Gambia, The - 2008",41.26066667,-2.736333333,82.76666667,10.25544993,47.71070207,94.41121356,-0.201,58.66533333,1.99375,0.217650129,-3.633333333,3.003222369,76.0523696,-0.120333333,1
"Gambia, The - 2012",40.70633333,-2.5114,70.06666667,11.03415553,43.01362561,91.22368048,-0.147333333,59.91066667,2.523333333,0.240687027,-2.833333333,3.014744588,76.79514685,-0.174666667,1
"Gambia, The - 2016",39.70366667,-2.5416,60.03333333,4.334918022,39.36157974,89.35565903,-0.133333333,60.91433333,2.66,0.250815782,-2.266666667,3.007708213,77.64042638,-0.325333333,1
"Georgia - 2004",11.911,0.481,28.83333333,10.81500912,93.84639804,50.79764371,0.138666667,70.34,3.0373398,0.969117863,-2.666666667,-0.730627296,93.75406479,0.096,1
"Georgia - 2008",12.96566667,0.380133333,19.16666667,31.27193832,92.60185322,49.11688603,0.163333333,70.782,2.348571429,1.547399886,-2.033333333,-0.464640659,94.90314267,0.345666667,1
"Georgia - 2012",14.013,0.1784,13.1,56.50119019,91.50016754,47.72625624,0.046,71.77666667,1.809047619,2.019824148,-1.1,-0.756068272,96.00798077,0.152,1
"Georgia - 2016",14.056,-1.048,10.53333333,103.0877508,90.4929255,50.01768235,-0.062666667,72.96233333,1.76,2.587285539,-0.366666667,0.088083968,97.90869556,-0.109,1
"Germany - 2004",8.633333333,-0.5198,5,2346.684001,99.21995502,48.9390281,-0.066666667,78.4300813,4.103471554,9.972977313,-0.1,0.067260632,99.9999992,-0.066666667,3
"Germany - 2008",8.266666667,-0.4604,4.5,3136.431071,99.22237147,50.78960212,0.133333333,79.46747967,4.186666667,9.633975224,-0.1,-0.145552972,100,0.066666667,2
"Germany - 2012",8.333333333,-0.3416,4.1,3620.134847,99.2245478,51.96629809,0.133333333,80.32113821,4.63,9.17898418,-0.1,-0.606395092,100,0.033333333,2
"Germany - 2016",9.133333333,0.0064,3.9,3761.613932,99.2248676,52.56029587,0.333333333,80.90731707,4.409977006,8.878616783,0,0.696599514,100,0.333333333,2
"Ghana - 2004",34.36966667,-1.1436,88.4,6.339020411,9.791368591,79.90438071,-0.211333333,57.81166667,6.383333333,0.359932079,-3.2,2.463420782,67.34663113,-0.402333333,1
"Ghana - 2008",33.09166667,-0.8938,77.93333333,24.27834829,12.11979543,75.57897664,-0.237666667,59.73033333,4.58,0.411309308,-2.566666667,2.571043378,71.34861253,-0.253333333,1
"Ghana - 2012",32.11533333,-0.3942,65.93333333,45.33388138,14.57596956,72.28181252,-0.145,61.377,6.943333333,0.475819918,-3.166666667,2.426962221,75.37232484,-0.269666667,1
"Ghana - 2016",30.70633333,-1.033,54.63333333,27.79906972,17.14832375,70.12114591,-0.133333333,62.77066667,4.244262303,0.580132828,-2.466666667,2.269064837,79.42040284,-0.418666667,1
"Greece - 2008",10.33333333,-0.0888,4.133333333,1547.153809,98.20200235,49.92647169,0.133333333,79.60569106,3.1,8.794304648,-0.166666667,0.27351574,99.83286724,0.133333333,3
"Greece - 2012",9.666666667,-0.5548,3.933333333,1527.796997,98.51405825,52.54773871,0.333333333,80.58455285,3.1,7.325872717,0.033333333,-0.186607932,99.95815805,-0.633333333,3
"Greece - 2016",8.533333333,-0.2632,4.366666667,913.5780436,98.97595742,54.65503294,0.466666667,81.2699187,3.1,6.001938479,0.066666667,-0.580295893,99.99999855,0.033333333,3
"Guatemala - 2004",33.18933333,-3.4988,46.06666667,37.37454096,63.83310387,88.76518507,-0.121666667,69.082,2.338188438,0.882852941,-1.833333333,2.201537878,87.32749659,-0.816666667,1
"Guatemala - 2008",29.74133333,-3.036466667,39.3,52.64492416,64.36432025,83.27508426,-0.089333333,70.41366667,2.87,0.890237032,-1.6,1.976545967,89.35719847,-0.820666667,1
"Guatemala - 2012",27.217,-2.1118,33.3,62.65274938,64.73425346,75.52739011,-0.078,71.85933333,2.923333333,0.799735554,-1.4,1.81117999,91.32779707,-0.471,1
"Guatemala - 2016",25.62866667,-1.5282,28.3,86.27025859,64.97505322,68.82748664,-0.044,73.242,2.885156953,0.996219704,-1.1,1.692765338,93.24708806,-0.363333333,1
"Guinea - 2004",42.865,-1.981,145.4,2.0839444,11.92056907,100.5455486,-0.421666667,51.96133333,2.256033546,0.21426129,-5.8,1.955882665,63.04707352,-0.453,1
"Guinea - 2008",41.049,-1.9544,127.1333333,1.458879987,15.0034417,99.18019275,-0.558333333,54.84333333,1.30240255,0.211658386,-3.666666667,2.226345617,63.15071276,-0.452,1
"Guinea - 2012",39.27966667,-1.9012,115.7333333,2.936818282,18.0150647,96.05751012,-0.338666667,57.38433333,3.163333333,0.25484844,-2.366666667,2.22415749,62.89397294,-0.433333333,1
"Guinea - 2016",37.58466667,-2.1158,107.6333333,4.09219265,21.06169725,91.86679965,-0.33,59.59466667,2.231628585,0.2351267,-2.166666667,2.492202439,62.29685181,-0.415333333,1
"Guyana - 2012",21.09166667,-1.9034,36.5,64.59826533,83.68745227,57.13531298,-0.015333333,68.31833333,3.146666667,2.435139422,-0.8,0.340672831,93.11978063,-0.084333333,1
"Guyana - 2016",20.61633333,-1.736,33.13333333,116.0490824,85.34605079,54.1023261,0.057333333,69.255,2.92,2.783493629,-0.966666667,0.52619227,95.14568795,-0.176666667,1
"Haiti - 2004",30.468,-0.844,94.46666667,3.25830857,20.01301494,76.03772007,-0.163666667,57.96866667,1.461652,0.207725287,-2.733333333,1.655152639,58.6241959,-0.423,1
"Haiti - 2008",28.83866667,-0.886466667,85.36666667,6.394913356,24.06761407,71.77342857,-0.176,59.406,1.461652,0.242144298,-2.033333333,1.597075648,60.73887335,-0.396333333,1
"Haiti - 2012",27.246,-0.9714,120.2,7.060296059,28.20894948,67.81448584,-0.148333333,60.88333333,1.461652,0.211903177,-86.8,1.506181838,62.68075046,-0.405,1
"Haiti - 2016",25.58166667,-1.178,70.43333333,6.856273174,32.5044674,64.02313035,-0.140666667,62.48333333,1.461652,0.271747848,-1.866666667,1.37899043,64.56424666,-0.420333333,1
"Honduras - 2004",31.034,-3.2106,32.13333333,29.94647598,66.19575336,82.97805488,-0.083333333,71.51,4.4741548,0.94770732,-1.566666667,2.523689593,86.70893751,-0.947,1
"Honduras - 2008",27.439,-3.147866667,26.66666667,53.12773641,70.77690719,76.50016964,-0.058,72.544,5.21649288,1.069677828,-1.233333333,2.254624417,89.15971347,-0.858,1
"Honduras - 2012",24.36433333,-3.0224,22.4,75.90156809,75.11259407,69.15868003,-0.034333333,73.56666667,5.95883096,1.02377935,-0.9,1.94565139,91.49848947,-0.655666667,1
"Honduras - 2016",22.45166667,-1.4364,19.3,73.78763835,79.22551512,61.47884169,-0.005,74.49133333,6.33,1.073187296,-0.7,1.742849908,93.73477176,-0.340333333,1
"Hungary - 2004",9.4,-0.2948,8.4,453.7992554,98.03628404,45.86023723,0.1,72.43252033,5.288416848,5.677887556,-0.5,-0.264208008,99.96549171,-0.1,1
"Hungary - 2008",9.833333333,-0.145133333,6.866666667,688.454834,98.02055194,45.25532174,0,73.31707317,5.18,5.574278026,-0.333333333,-0.16190967,99.96743194,-0.066666667,1
"Hungary - 2012",8.966666667,0.1542,5.866666667,660.7939046,98.00510415,45.07474502,-0.033333333,74.7097561,4.395647206,4.817277066,-0.133333333,-0.341937306,99.96933537,-0.033333333,1
"Hungary - 2016",9.533333333,0.7328,5.066666667,626.8063558,97.99543765,46.96992448,0.266666667,75.79837398,4.461251655,4.447591427,-0.333333333,-0.267448125,99.97052793,0.033333333,1
"Iceland - 2004",14.3,-0.59,3.466666667,3133.346598,98.79487943,52.16606413,-0.033333333,80.82113821,6.766666667,7.573122401,-0.133333333,0.821010052,99.99999867,0.2,2
"Iceland - 2008",14.76666667,-0.722666667,2.9,4420.82194,98.78860756,50.20888563,-0.033333333,81.40731707,7.42,7.220309864,-0.1,2.245693363,100.0000015,0.266666667,2
"Iceland - 2012",14.53333333,-0.988,2.533333333,2996.83488,98.78458192,49.28152877,-0.166666667,82.39105691,7.963468314,5.96934174,-0.066666667,0.231222034,99.99999745,-0.866666667,2
"Iceland - 2016",12.63333333,-0.6182,2.233333333,3730.383545,98.78310806,51.49911524,0.3,82.51138211,7.491069275,6.074091065,-0.066666667,1.180842213,99.99999982,-0.766666667,2
"India - 2004",25.03133333,-3.12,81.2,4.11295263,23.76670909,61.72467721,-0.119666667,63.69933333,3.470898412,0.99180308,-3.4,1.652120392,81.18414328,-0.457666667,1
"India - 2008",22.98333333,-3.180466667,67.93333333,7.3977712,33.8358909,58.46401658,-0.119,65.354,3.08,1.204836536,-3.266666667,1.506602776,84.47783335,-0.580666667,1
"India - 2012",20.51066667,-3.3014,55.1,13.21852589,44.02959673,55.16758058,-0.093,67.12266667,3.08,1.484375461,-3.1,1.290179184,87.76414697,-0.603333333,1
"India - 2016",18.647,-2.975,43.53333333,14.97077529,54.3471302,51.65998184,-0.011666667,68.59666667,3.08,1.775142978,-2.666666667,1.117379053,91.0418375,-0.337,1
"Indonesia - 2004",21.864,-0.103,47.56666667,8.475144545,46.72278213,53.71234589,-0.060333333,66.64033333,2.0983412,1.453757675,-0.033333333,1.349357036,78.47917563,0.004,1
"Indonesia - 2008",21.441,-0.137333333,38.36666667,18.70487912,54.29988185,51.9382068,-0.12,68.10233333,2.746528433,1.630054067,-1.633333333,1.325582855,81.95215264,-0.183,1
"Indonesia - 2012",20.51533333,-0.206,32.6,28.3184967,61.87222066,50.56647925,-0.069666667,69.53766667,2.82,1.99506607,-1.3,1.345888079,85.06569355,-0.279666667,1
"Indonesia - 2016",19.164,-0.6202,27.8,42.64185715,69.37628102,48.98580108,-0.012333333,70.76133333,3.179409248,1.862747612,-1.1,1.266036033,87.95544188,-0.373,1
"Iran, Islamic Rep. - 2004",17.282,-0.243,28.93333333,45.99419149,87.52177784,51.70117652,-0.000333333,71.25933333,4.49,6.198933323,-1.666666667,1.23212537,95.1194638,0.004,1
"Iran, Islamic Rep. - 2008",17.66866667,0.0404,23.13333333,97.16013845,87.81326709,43.41713446,-0.019,72.63666667,4.37,7.336130049,-1.366666667,1.108178342,95.15421479,0.148666667,1
"Iran, Islamic Rep. - 2012",18.34066667,0.6072,18.83333333,165.2800954,88.0432909,41.05996288,-0.044333333,74.34433333,3.66545007,7.919872964,-0.866666667,1.174373662,95.10046913,0.186666667,1
"Iran, Islamic Rep. - 2016",19.03266667,1.2128,16.1,206.006429,88.28735913,42.20061631,0.012,75.78166667,2.916896898,8.340154378,-0.6,1.316908553,95.15761064,0.102666667,1
"Iraq - 2008",33.69766667,1.802866667,37.76666667,67.7138888,77.61357396,82.99266419,-0.021,68.159,4.6,3.035632439,-0.933333333,1.764425753,87.14565211,-0.156333333,1
"Iraq - 2012",33.11166667,1.129,33.56666667,98.95568339,84.08930652,80.42510254,-0.115333333,68.85433333,4.6,4.356249802,-1.033333333,3.197429091,90.92659448,-0.237333333,1
"Iraq - 2016",31.096,-1.552,29.53333333,45.88088353,90.74461609,74.01597302,-0.086666667,69.917,4.6,4.911980666,-0.966666667,3.302777544,94.68544639,-0.695,1
"Ireland - 2004",15.33333333,-0.5022,6.033333333,2253.831502,89.84014126,44.83404588,-0.233333333,78.10406504,4.626666667,10.82468805,-0.466666667,1.714137879,97.22417976,-0.066666667,3
"Ireland - 2008",16.06666667,-0.701533333,4.633333333,3841.38265,90.24182573,45.01704492,-0.233333333,79.65934959,5.153333333,9.933850364,-0.266666667,2.54189122,97.27537233,0.766666667,2
"Ireland - 2012",16.1,-1.1002,4.1,3902.600667,90.64674701,47.91541556,0.1,80.77886179,6.686666667,8.100799737,-0.1,0.468233542,97.32501789,-0.4,2
"Ireland - 2016",13.9,-0.6526,3.7,3513.054443,91.04716308,52.81865668,0.066666667,81.48536585,4.732548488,7.62252015,-0.1,0.934893583,97.37206809,-0.5,2
"Israel - 2004",21.4,-0.4028,6.1,894.4860229,100.0000009,61.14925705,-0.066666667,79.74878049,6.176666667,9.057580752,-0.3,1.862400598,100.0000009,0.2,3
"Israel - 2008",21.2,-0.434866667,5.1,1120.360657,99.99999942,60.41230519,0,80.6699187,5.443333333,8.993638629,-0.2,1.773495283,99.99999942,0.2,3
"Israel - 2012",21.6,-0.499,4.433333333,1461.789469,100,61.18700135,0.066666667,81.65447154,5.347107376,9.161693099,-0.166666667,1.840327198,100,-0.2,3
