"","dem.BirthRate","dem.AdolescentFertRate.var","dem.MortalityUnder5","hs.GovHealthExpend","hs.BasicSanitation","eco.AgeDependancyRate","dem.DeathRate.var","dem.LifeExpectancy","sci.EduExpense","eco.CO2Emissions","dem.MortalityUnder5.var","dem.PopGrowth","hs.DrinkingWater","dem.BirthRate.var","clust_names"
"Azerbaijan - 2016",17.13333333,1.3196,26.4,68.82877731,91.95253217,40.2072992,-0.033333333,72.26033333,2.889374215,3.890848547,-1.9,1.185758689,90.0307613,-0.766666667,1
"Bahamas, The - 2004",15.784,-0.9276,16.66666667,587.7870687,89.1586142,51.79904835,0.082,71.98366667,3.8356,6.244308254,0.166666667,1.74624917,98.37378859,-0.393,1
"Bahamas, The - 2008",15.29633333,-1.062866667,16.46666667,780.9841512,91.25319392,50.55192272,0.071333333,72.00266667,3.8356,5.856530143,-0.233333333,1.877421984,98.54484589,-0.009666667,1
"Bahamas, The - 2012",14.853,-1.3334,15.23333333,796.6037191,93.37003922,48.36311793,0.036,72.277,3.8356,5.659161026,-0.366666667,1.306975719,98.71590319,-0.192,1
"Bahamas, The - 2016",14.23166667,-0.5592,13.96666667,845.7229614,94.81632492,44.25273445,0.012666667,73.088,3.8356,5.48564537,-0.333333333,0.96307101,98.87270572,-0.108333333,3
"Bahrain - 2004",19.99066667,-0.3996,11.3,349.1074829,99.89496017,41.8567108,-0.072,74.996,3.391697712,21.6085026,-0.3,5.789023452,99.92822458,-0.600333333,1
"Bahrain - 2008",17.709,-0.319333333,9.766666667,454.1129456,99.94904008,33.615027,-0.038333333,75.62433333,2.633333333,24.3205924,-0.433333333,7.533532117,99.96859825,-0.494,1
"Bahrain - 2012",16.27433333,-0.1588,8.233333333,546.5484517,99.99653334,29.03062305,-0.001333333,76.19966667,2.8225,22.4506792,-0.266666667,3.08378366,99.99962617,-0.272666667,1
"Bahrain - 2016",15.08666667,-0.125,7.566666667,707.7850342,100,29.80127617,0.009,76.76166667,2.91,23.22781019,-0.133333333,2.695600961,100,-0.339333333,1
"Bangladesh - 2004",25.43766667,-2.3832,72.76666667,2.4519701,29.68645939,65.46977139,-0.127333333,66.88233333,1.47,0.263184783,-4.233333333,1.722178119,95.73719048,-0.694333333,1
"Bangladesh - 2008",22.76133333,-1.9552,57.76666667,3.0686481,35.14710118,61.16811239,-0.101666667,68.64433333,1.703333333,0.321754672,-3.333333333,1.239800351,96.19867756,-0.622666667,1
