Country Name,Adjusted savings: education expenditure (% of GNI),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Fertility rate, total (births per woman)",Land area (sq. km),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Merchandise exports by the reporting economy (current US$),"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",Merchandise exports to high-income economies (% of total merchandise exports),Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),Merchandise imports by the reporting economy (current US$),"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Merchandise imports from high-income economies (% of total merchandise imports),Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Population density (people per sq. km of land area),Population growth (annual %),"Population, total","Preprimary education, duration (years)","Primary education, duration (years)",Rural population,Rural population (% of total population),Rural population growth (annual %),Scientific and technical journal articles,"Secondary education, duration (years)",Surface area (sq. km),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Urban population,Urban population (% of total population),Urban population growth (annual %)
Azerbaijan,3.8738799999999998,38.4484,14.966666666666667,5.833333333333333,2.0233333333333334,82800.66731770833,69.80566666666668,63.169000000000004,66.487,1093069141.6666667,0.6141749955582836,56.5341498308321,0.375489843268275,5.03984806238294,1094496171.0,0.6815778548866475,41.61390496278537,1.6954230015695833,8.148548979597612,96.39577852868176,0.882752270059371,7981450.0,5.0,4.0,3888299.0,48.717000000000006,1.021539839781944,154.76,7.0,86600.0,76.17980859999999,61.6602806,4093151.0,51.282999999999994,0.7519813898917204
"Bahamas, The",3.8356,54.782000000000004,18.549333333333333,5.758333333333334,2.167666666666667,10010.0,75.18666666666665,68.48366666666668,71.85266666666666,624085584.3666667,0.2258320915558327,91.0154097759153,0.012672136652039675,8.758758132528882,2681667194.6666665,2.2917479306817,92.21276868963946,0.742023499344319,5.495483379678848,29.394272394272402,1.2178595874453466,294236.6666666667,2.0,6.0,53505.0,18.185999999999996,0.10458696761806092,1.7,6.0,13880.0,77.806535,63.9416256,240731.66666666666,81.81400000000001,1.46717359994328
Bahrain,4.167294662499994,17.982,22.276,2.898666666666667,2.856666666666667,710.0,75.25766666666667,73.44999999999999,74.23733333333332,4885983682.0,41.56765902082247,42.13021140024577,4.540961257294443,16.302129578931737,3850833585.3333335,15.138296322116451,71.42991649316548,4.6176716457338465,13.431787184718067,898.9915492957749,3.69188248860422,638284.0,4.0,6.0,74197.0,11.624333333333333,3.72061576601944,82.53,6.0,710.0,84.55434860000001,81.08862419999998,564087.0,88.37566666666667,3.6881036013912634
Bangladesh,1.3642624666666665,115.3722,28.157333333333337,7.0953333333333335,3.269666666666667,130170.0,65.33933333333334,64.43266666666666,64.85933333333334,4643868526.0,9.989577308870077,83.03951148469007,1.4227301758531867,4.789012128951793,8194594963.0,16.27754648676437,51.822510346573665,13.658129956545267,17.624433458494234,961.6407262298022,2.0174929220943767,125176773.33333333,3.0,5.0,96125188.0,76.79666666666667,1.5186914186267666,440.02,7.0,148460.0,68.0300442,66.07147480000002,29051585.333333332,23.203333333333333,3.6863917322999336
Barbados,4.3972386,51.4238,14.09966666666667,7.515000000000001,1.762333333333333,430.0,78.75166666666667,74.97933333333333,76.925,263325358.0,16.297862105003265,47.34088374203487,0.34712949669111115,36.36125415296187,1095387392.3333333,0.38161410095267034,88.76370842627658,1.93342501217035,10.854677472770733,628.9162790697673,0.41109626946335537,270434.0,2.0,6.0,178054.66666666666,65.83933333333333,0.9335275355097158,27.96,5.0,430.0,84.0889346,75.25373180000001,92379.33333333333,34.160666666666664,-0.5878146180005163
Belarus,5.3933995,29.529,9.299999999999999,13.766666666666666,1.3090000000000002,202840.0,74.33333333333333,62.76666666666667,68.40894308943086,6773785538.0,0.4195643730080487,25.450307011989697,2.826427895242713,8.419186424760184,7948475638.0,0.4507214493013634,29.282332281951465,1.0373406747088634,3.1769569023807236,49.42376257148493,-0.4557721940088093,10025116.0,5.0,4.0,3057161.0,30.493666666666666,-1.8536544831958965,1170.05,7.0,207600.0,79.1090656,50.6757242,6967955.0,69.50633333333333,0.16254584557505827
Belgium,3.8929585991624003,10.486199999999998,11.266666666666666,10.266666666666667,1.6300000000000001,30280.0,80.89999999999999,74.46666666666667,77.6048780487805,180309666666.66666,0.4547162725351102,91.27073080180766,1.1985853363492098,8.274552925657249,166042000000.0,0.056481236414394204,88.11139472504549,3.724732819163337,11.832124038540135,338.548546895641,0.22841156997399767,10226892.333333334,3.0,6.0,300318.6666666667,2.936666666666667,-2.0706104284476567,9723.01,6.0,30530.0,89.443392,80.5393668,9926573.666666666,97.06333333333333,0.2988400633664874
Belize,5.1425102,100.2308,30.429666666666662,5.936,3.7030000000000007,22810.0,71.66933333333334,66.16966666666666,68.77166666666666,171720006.66666666,4.138686797787886,91.04038420260493,0.00991726596003642,0.05316590458217251,377982163.6666667,6.523049249003172,68.26814620877035,0.9274269234395867,1.138207725625537,10.471240683910565,3.662637655673563,238849.0,2.0,6.0,129966.33333333333,54.409,4.033929489895811,0.62,6.0,22970.0,76.89648240000001,64.94718479999999,108882.66666666667,45.591,3.2214796975369704
Benin,2.643201402763133,119.9574,42.764,12.87,6.0393333333333326,112760.0,56.88133333333334,53.53433333333333,55.24933333333333,211601919.5666667,0.1657666358535984,25.290240982253398,14.727219483703399,64.21195688518894,680894343.5,0.1731351656407724,63.3067542055999,9.262691329047874,16.1109821981043,59.123548539671276,2.9647874901608664,6666771.333333333,2.0,6.0,4131935.6666666665,61.98433333333333,2.4562588602045268,43.48,7.0,114760.0,55.633485400000005,49.0680642,2534835.6666666665,38.01566666666667,3.79950349374379
Bhutan,3.8251965499999634,81.1628,28.179333333333332,9.258000000000001,3.703666666666667,39800.0,60.199999999999996,59.74866666666666,59.98233333333332,9686006.0,0.603850544796276,24.5140979677279,8.66904274063014,26.9355810847113,125856649.0,0.0,34.844150347591096,25.772228370707698,25.8674351007073,14.516574539363466,2.2943605470237,577759.6666666666,2.0,7.0,436738.0,75.60733333333333,0.9724682951506156,1.08,6.0,40076.9995117188,54.86309,55.2949692,141021.66666666666,24.39266666666667,6.506245798260504
