Country.Year,sci.Internet,geo.UrbanPop,sci.EduExpense,geo.RuralPopGrowth,eco.CleanCook,dem.FertilityRate,dem.over64,geo.UrbanPop.var,hs.OpenDefecation.var,dem.DeathRate.var,hs.BasicSanitation.var,eco.CleanCook.var,dem.PopGrowth,geo.ArableLand.var,geo.RuralPop,eco.Inflation,eco.AgeDependancyRate.var,hs.GovHealthExpend.var,sci.EduExpense.var,dem.AdolescentFertRate.var,dem.LifeExpectancy.var,hs.GovHealthExpend.var,dem.AdolescentFertRate,sci.Articles,dem.Pop15to64,dem.MortalityUnder5.var,dem.DeathRate,hs.DrinkingWater,dem.Pop0to14.var,eco.Imports.var,sci.PrimaryDuration,hs.DrinkingWater.var,eco.MerchTrade.var,sci.PrimaryDuration.var,eco.FoodProdIdx.var,dem.Pop0to14,eco.AgeDependancyRate,geo.UrbanGrowth,eco.FoodProdIdx,dem.MortalityInfant,eco.Inflation.var,eco.GDP,sci.PrimaryDuration.var,sci.Internet.var,eco.GDP.var,hs.BasicSanitation,eco.Exports,eco.MerchTrade,sci.WomenBusinessLaw,dem.FertilityRate.var,dem.LifeExpectancy,dem.FemalePop.var,dem.Pop15to64.var,dem.MortalityInfant.var,dem.FemalePop,geo.RuralPop.var,eco.Imports,eco.CO2Emissions,sci.WomenBusinessLaw.var,dem.DeathRate,sci.Articles.var,dem.over64.var,geo.ArableLand,dem.MortalityUnder5,hs.GovHealthExpend,eco.Exports.var,hs.OpenDefecation,sci.SecundaryDuration,dem.DeathRate.var,HDI.Delta,HDI.Delta.cat
Afghanistan - 2008,1.949041215,23.113333333333333,2.7045238410797,2.3170587417502966,16.080000000000002,6.55,2.2698756167195566,0.2063333333333368,-0.8503218295545985,-0.9490000000000052,1.234949138102067,1.2700000000000014,2.584199179247317,0.0,76.88666666666667,10.607932083290665,0.578984962338339,0.03691955156204155,0.044180953643190524,-3.9317999999999813,0.5510000000000019,0.5017943382263164,131.82840000000002,13.473333333333334,49.61574908331886,-4.166666666666657,42.92099999999999,40.855199212815734,0.1246333674285296,184666666.6666665,6.0,2.4488418933975353,-6.594400762077164,0.0,4.730000000000018,48.11437529996153,101.54992835695833,3.4780071516960334,102.36000000000001,71.66666666666667,3.4081807904279238,8942796980.070946,0.0,-0.1580824300000001,1971511385.3908157,30.41574419778677,470000000.0,38.73439773688883,27.96666666666667,-0.1720000000000006,59.377,0.11094579973546104,-0.14268778864393283,-2.6333333333333258,48.56981877614246,-0.20633333333333326,2928666666.6666665,0.09934708309652325,1.6666666666666679,9.288000000000002,-0.216666666666665,0.018054421215396577,11.938240970499,99.53333333333335,1.8335521221160864,54000000.0,20.9399302242778,6.0,-0.35699999999999754,0.02799999999999997,3
Afghanistan - 2012,4.818181818333334,23.948333333333334,2.6362436387589567,2.8224708578542868,22.363333333333333,5.769666666666667,2.3562957557893203,0.21133333333333582,-0.8448510701285308,-1.072666666666663,1.284335648305266,1.6833333333333336,3.0990963854924636,-0.0025528699364016916,76.05166666666666,9.236577841498667,-1.9804126642244029,0.05719924679282329,-0.2008230632502932,-6.458999999999989,0.5169999999999959,0.055316130320226975,107.25600000000001,33.9,49.987205812254274,-3.666666666666657,38.75633333333334,50.93845718304167,-0.5216469742549918,1758666666.666667,6.0,2.5820971225767764,5.429583233917434,0.0,0.30333333333334167,47.6564984319564,100.06541026931261,3.982664841492147,116.28333333333335,61.76666666666667,5.421947515705098,17887488733.749935,0.0,0.8181818183333336,2030914002.308836,35.46136337157127,397666666.6666667,40.38038499194843,28.8,-0.2073333333333336,61.544999999999995,-0.022206849710038057,0.49348278047687444,-2.3333333333333215,48.80255075004556,-0.21133333333334292,6912666666.666667,0.3471868766119663,0.0,7.943666666666666,5.969999999999999,0.028164193778080104,11.934156378600798,83.93333333333334,2.551074186960857,9666666.666666687,17.550677821737867,6.0,-0.3063333333333338,0.009000000000000008,2
Afghanistan - 2016,7.63,24.80333333333333,2.7237226887993202,2.7839288188693465,30.176666666666666,4.979666666666667,2.48338656807895,0.21633333333333127,-0.8039714444213004,-0.8740000000000023,1.3373418680968001,2.1866666666666674,3.07032755534398,-0.024507551389300275,75.19666666666667,2.705740145143253,-2.4674664511520916,6.708077365802367e-05,-0.25855078405583987,-6.368000000000009,0.4026666666666614,0.08828083674112985,81.693,46.17666666666667,52.5866996543625,-3.066666666666663,34.831999999999994,61.55821522419183,-0.710675415494535,-400333333.333333,6.0,2.716982897039223,-0.8462016180790357,0.0,-0.9699999999999989,44.92991377755857,90.18167446785083,3.943646748989203,122.69,53.23333333333333,2.138795605307394,19918212935.125668,0.0,0.6299999999999999,-566672184.6091309,40.7122739566862,579000000.0,39.66659575174796,31.900000000000002,-0.18333333333333268,63.36866666666666,-0.02531054832237345,0.6788637185438944,-1.9666666666666757,48.61601376618923,-0.21633333333332416,7328666666.666667,0.25379502623399103,3.1000000000000014,6.937333333333334,11.486666666666672,0.03181169695062014,11.878503813987699,70.53333333333333,3.07002894083659,9000000.0,14.2189709051643,6.0,-0.203666666666666,0.0050000000000000044,1
Albania - 2004,1.2607898286666668,44.57500000000001,2.9553839826224837,-2.2802794499647234,47.79333333333333,1.8996666666666666,7.890189297752826,1.0740000000000052,-0.04888398181305442,-0.7169999999999987,0.7757277550401938,2.5633333333333326,-0.363985748100663,0.0,55.42499999999999,3.9993997515004938,-1.2319015757360035,0.1099428373550635,0.02251599652449343,-0.07699999999999818,0.2363333333333344,14.375270843505831,18.765,22.08666666666667,63.97769277912206,-1.5000000000000036,14.073,87.92635293302357,-0.8008601744742982,388333333.33333325,4.0,0.01326366199528195,-1.0198543448296675,0.0,5.13000000000001,28.132117923125097,56.3109746282935,2.07109400788217,94.98,20.4,0.35524983475174343,5714747948.876077,0.0,0.8707085556666668,1366677783.683467,90.6745874130691,464333333.3333333,41.389764864208935,80.0,-0.08133333333333326,74.81533333333333,0.13026052156570245,0.5029230356614605,-1.3000000000000007,49.4954768252818,-1.0740000000000052,1892333333.3333333,1.3394835468250434,0.0,5.968,-2.4433333333333316,0.297937138812876,21.0948905109489,22.899999999999995,51.445266723632834,124333333.33333331,0.7188952334779596,8.0,0.07699999999999996,0.017000000000000015,3
Albania - 2008,16.168702242,48.90266666666667,3.045447968720477,-2.8230485930615568,58.153333333333336,1.6763333333333332,9.325937015749458,1.0876666666666708,-0.04699073053927971,-0.2350000000000012,0.6918373626905918,2.5833333333333357,-0.7179909864713013,0.2433090024330653,51.09733333333333,3.6625837179176632,-0.960661620714653,0.06716441992231026,0.022515996524496984,0.1001999999999974,0.23733333333332496,40.222862243652244,18.6342,39.98333333333333,65.9391247063027,-1.3666666666666636,12.162999999999998,87.9092948604989,-0.8371031804685352,1215333333.3333335,4.0,-0.019263320386798455,4.684762515528533,0.0,2.4866666666666646,24.734938277947865,51.65887061860324,1.5298557258326602,104.69666666666666,15.299999999999999,1.1819179791212329,10818249844.17819,0.0,6.558710925999998,1922175905.8641205,93.59641005444588,965333333.3333334,47.96228051612233,81.66666666666667,-0.027666666666666728,75.66033333333333,-0.002951883512871234,0.41672051775810814,-1.200000000000001,49.761643266177636,-1.0876666666666708,4275333333.3333335,1.3697407871439402,1.6666666666666714,6.511,12.763333333333328,0.42038266271041813,21.557177615571764,17.133333333333336,115.47645568847645,175333333.33333337,0.5274387428323494,8.0,0.1459999999999999,0.015999999999999903,3
Albania - 2012,49.551986346666666,53.24666666666667,3.1355119548184702,-2.604419226727767,67.66666666666667,1.6723333333333334,11.015967455307267,1.083666666666666,-0.030892310749699003,0.0983333333333345,0.6059346037712743,2.4366666666666674,-0.31021011175789137,-0.13260370333413007,46.75333333333333,2.6167723052259166,-1.2682264108524919,0.11484437138948,0.022515996524500093,0.4546000000000028,0.3473333333333386,-1.150853474934678,20.2754,149.9333333333333,67.47503875088432,-1.0333333333333332,12.099333333333334,87.81068494818892,-0.946088815791299,483333333.333333,5.0,-0.000600353611972082,4.219045939444925,0.0,6.943333333333328,21.5089937938084,48.20968226819411,1.7485119951951997,125.37333333333333,10.866666666666667,-1.8763343764374936,12379174694.075167,0.0,4.551986346666666,452246188.5520668,96.17763452400656,1819333333.3333333,54.10615641591583,85.59999999999998,0.01233333333333353,76.90933333333334,-0.10298614918851001,0.5755267728570317,-0.9333333333333336,49.5220684211702,-1.083666666666666,4889333333.333333,1.69341795530803,-1.4210854715202004e-14,6.9173333333333344,12.703333333333319,0.3705620429342673,22.714111625133068,12.166666666666666,180.19068400065134,275333333.33333325,0.26954141923141,7.0,0.07633333333333425,0.016000000000000125,3
Albania - 2016,63.238792466666666,57.42600000000001,3.2830750651972167,-2.56703734391522,75.59000000000002,1.6746666666666667,12.587816994235633,1.0030000000000072,0.0,-0.08033333333333381,0.014066870882089688,1.6100000000000136,-0.21937773290958804,0.05109503901496737,42.574,0.49379822856273936,-0.11797428248954134,-0.20677625407568656,0.13068256397936695,-0.21759999999999735,0.19766666666667732,-16.891733805338674,20.0772,181.35333333333332,68.65461417197525,-0.2666666666666675,12.178666666666667,91.00086563695668,-0.4627135605029338,-509666666.666667,5.0,0.019661253607281992,-1.884803754473296,0.0,4.400000000000006,18.757568833789065,45.65670522910967,1.5582982697518635,146.12,8.566666666666668,-1.0560803908720706,12158730374.990799,0.0,3.138792466666665,-1069413633.3520012,97.6909218244183,2101666666.6666667,55.953998084806805,87.5,-0.01333333333333342,78.01066666666668,-0.06665349372330809,0.05558886214086556,-0.2333333333333325,49.106724880875795,-1.0030000000000001,4712333333.333333,1.6932934561182034,1.9000000000000057,7.373333333333334,0.9633333333333383,0.40712469836213394,22.518247432662367,9.633333333333333,183.43213399251331,-327333333.33333325,0.0,7.0,0.15433333333333454,0.0030000000000000027,1
Algeria - 2004,2.8071586930000003,62.282000000000004,4.4671956,-0.7654327873591237,89.52333333333333,2.4153333333333333,4.683847209196326,0.7809999999999988,-0.4314728960937284,0.3646666666666647,0.3110978132466613,0.6533333333333218,1.2896087892786967,-0.013617467997832922,37.717999999999996,7.29876569226636,-2.1601215735090022,-0.033023286460207135,0.0,0.00140000000000029,0.49500000000000455,7.9801495869954095,9.6814,661.82,64.27830093037589,-1.3333333333333286,19.634666666666664,90.65317304116572,-1.009051510708133,2203666666.666666,6.0,0.26600373444051684,0.647338978787765,0.0,10.86333333333333,31.037851860427764,55.59278448952529,2.554980576136203,84.79333333333334,31.26666666666667,5.97981826940415,69983413286.42737,0.0,1.2155174330000003,13222789808.101067,84.71186664724416,24422000000.0,54.853931708954974,40.6,0.012333333333333307,72.10000000000001,0.02303125923826599,0.888026547701493,-1.1333333333333293,49.374940576142166,-0.7810000000000059,14172666666.666666,2.7893656119736328,0.0,4.760333333333333,182.21000000000004,0.12102496300655652,3.155074328755797,36.46666666666667,57.79405339558921,5623000000.0,5.03982024951454,6.0,-0.05366666666666742,0.014000000000000012,3
Algeria - 2008,9.002391860666668,65.346,4.4671956,-0.6046515321752707,91.57000000000001,2.6486666666666667,5.13944186583223,0.7530000000000001,-0.3795987374511762,0.8286666666666704,0.2594486219592653,0.480000000000004,1.5528994091979331,0.0025191666596704465,34.653999999999996,10.750755718664658,-0.8210649605592408,0.12218719617418694,0.0,0.12553333333333327,0.40166666666667084,31.391441345214943,9.811133333333334,1474.1266666666668,66.81509898968983,-1.3000000000000007,22.410666666666668,91.67466022429095,-0.47172057567429704,8066000000.0,6.0,0.24647027095814167,1.4997652097671619,0.666666666666667,-5.596666666666678,28.0454591444779,49.66941695653936,2.71623454339325,100.88333333333333,26.433333333333334,0.20605373795635806,141001119357.06,0.0,1.626406904666668,23975683892.770996,85.84371166661697,64691333333.333336,66.50187325422986,55.0,0.07966666666666677,73.92266666666667,0.02330876489889988,0.3657138019359394,-1.1666666666666679,49.47113890862801,-0.7530000000000001,29522000000.0,3.1265523455832365,0.0,4.642333333333333,204.2266666666667,0.10600677373835943,3.1388816579475503,30.8,110.97337341308604,10078333333.333336,3.4270148696148035,6.666666666666667,-0.0086666666666666,0.019000000000000017,3
Algeria - 2012,15.199999999999998,68.23033333333335,4.4671956,-0.2881207366513443,92.45666666666666,2.907,5.510278489723347,0.6903333333333421,-0.32903553685319054,0.3906666666666645,0.20717664914832312,0.046666666666666856,1.8799159128740666,0.0006297916649167234,31.769666666666666,13.935878779052048,0.5474154222480934,0.05251938586301952,0.0,0.37379999999999924,0.2530000000000001,42.74629720052033,11.1822,2545.7999999999997,67.01488090319008,-0.6333333333333329,24.894666666666666,92.61475956592079,0.19206032148829877,5559666666.666664,5.0,0.22529444031140144,-0.7196586979889901,0.0,11.063333333333333,27.474840607086602,49.221950991179796,2.9059712073805133,141.35333333333332,23.0,-2.1847419566768504,190095843411.27234,0.0,2.6999999999999975,28888089263.98633,86.76760634108773,67469333333.333336,59.777431231628405,55.0,0.04700000000000015,75.191,0.0007262045656375449,-0.2461329734168345,-0.6000000000000014,49.520885373151536,-0.690333333333335,46032666666.666664,3.36507998805125,0.0,4.670333333333333,405.2999999999997,0.054072651928537496,3.150427838471037,26.766666666666666,201.44321187337232,10416333333.333336,2.01929142390514,7.0,0.014333333333332199,0.012000000000000122,2
